代码	名称	涨幅%	现价	涨跌	涨速%	开盘%	开盘换手Z	量比	涨跌数	涨停数	跌停数	3日涨幅%	总金额	开盘金额	换手%	换手Z	量涨速%	短换手%	2分钟金额	主力净额	主力净比%	开盘昨比%	连涨天	昨涨幅%	5日涨幅%	10日涨幅%	20日涨幅%	60日涨幅%	
880729	CXO概念	0.94	886.67	8.22	0.00	0.18	          0.02	  1.24	50|24	2	0	-0.26	1499674.25	14746.23	          2.09	          3.24	          2.19	          0.37	13591.65	21293.23	   0.02	1.05	1	-0.25	1.45	-0.06	-2.87	6.31	
880722	华为鸿蒙	0.91	1549.05	13.98	0.03	-0.04	          0.03	  0.83	185|75	6	1	-2.11	9931635.00	91639.17	          3.12	          4.59	          2.73	          0.61	112029.70	-75930.83	  -0.02	0.82	1	-2.03	-1.13	-1.76	-2.17	3.54	
880913	基因概念	0.90	2903.33	25.81	0.01	0.09	          0.02	  0.96	78|32	2	0	-0.32	3852613.75	40144.04	          1.88	          2.83	          2.13	          0.38	34061.93	-185961.58	  -0.11	0.93	1	-0.28	0.94	0.09	-1.41	3.60	
880689	华为算力	0.88	1564.65	13.61	0.03	-0.04	          0.03	  0.66	80|31	3	0	-3.48	5253769.50	40317.61	          3.01	          4.03	          2.78	          0.81	60427.47	-88758.48	  -0.06	0.60	1	-3.02	-2.72	-3.39	-0.39	9.45	
880563	食品安全	0.88	3446.14	29.92	0.00	0.33	          0.03	  1.00	42|19	2	0	-1.33	1401045.75	14152.56	          2.26	          3.64	          2.46	          0.26	14291.56	1564.83	   0.00	1.02	1	-0.92	-0.20	-2.21	-1.73	4.65	
880956	腾讯概念	0.87	1133.57	9.74	0.03	-0.11	          0.03	  0.80	198|93	3	0	-2.30	17442282.00	155430.48	          3.35	          4.94	          2.67	          0.71	192870.81	-232734.31	  -0.05	0.78	1	-2.26	-1.01	-2.10	-1.31	7.19	
880555	财税数字化	0.85	1855.09	15.64	0.02	-0.02	          0.03	  0.66	46|20	1	0	-1.75	2184533.50	18269.36	          2.56	          3.60	          3.09	          0.61	27840.10	-12481.64	  -0.02	0.66	1	-2.20	-1.13	-1.52	-2.91	4.26	
880601	智慧政务	0.84	1588.30	13.27	0.02	-0.09	          0.03	  0.72	152|58	5	0	-2.50	7859495.50	67048.61	          3.07	          4.45	          3.54	          0.84	114601.16	14714.67	   0.01	0.68	1	-2.45	-1.49	-1.96	-1.45	3.21	
880589	智能穿戴	0.82	3127.13	25.57	0.01	-0.21	          0.02	  0.94	163|78	5	0	-1.50	15629805.00	108404.52	          2.83	          4.18	          2.52	          0.65	163171.53	142991.77	   0.03	0.71	1	-1.26	1.12	-2.02	1.50	7.39	
880748	元宇宙概念	0.82	2126.18	17.34	0.02	-0.17	          0.03	  0.78	118|59	3	0	-2.07	9072855.00	83791.34	          3.17	          4.51	          3.11	          0.63	116541.85	-55269.99	  -0.02	0.75	1	-1.82	-1.29	-2.60	-1.51	7.57	
880657	数字水印	0.82	1297.27	10.58	0.03	0.08	          0.03	  0.62	23|8	0	0	-3.23	980505.69	6029.46	          3.84	          4.99	          2.68	          0.60	10885.33	-7471.74	  -0.03	0.51	1	-2.83	-1.79	-1.53	3.16	10.87	
880952	芯片	0.82	2886.57	23.47	0.02	-0.11	          0.02	  0.93	522|317	11	1	-1.86	67780784.00	482231.72	          3.15	          4.90	          2.51	          1.08	703083.31	356856.63	   0.02	0.74	1	-1.35	0.65	-3.23	2.26	15.34	
880728	航运概念	0.82	1809.05	14.63	0.04	0.17	          0.01	  0.93	57|25	2	0	0.08	4132615.75	29716.26	          1.73	          4.80	          1.94	          0.14	33216.10	52376.98	   0.03	0.74	1	-0.79	0.83	-1.91	5.05	8.56	
